player1.cards.list,player2.cards.list,check
2800001528000004260000932600006426000056260000552600004126000016,2800000426000046260000412600002226000021260000162600001126000007,0
2800001528000001270000092600004926000018260000112600001026000007,2800000428000001270000032600006426000058260000562600001226000000,1
2800001528000001260001032600008326000037260000252600002026000011,2800000828000000260000552600004926000038260000372600002526000021,0
2800001528000000270000002600005526000049260000432600003526000021,2800001128000008260000312600002726000018260000152600001226000001,0
2800001528000000260000842600007726000061260000442600002526000024,2800001128000004270000062600006426000058260000552600004026000011,0
2800001527000009260001022600006726000064260000572600002326000000,2800000927000010260000412600004026000035260000142600001126000003,0
2800001428000013280000062800000427000001260000602600004126000040,2800001126000103260000972600005826000040260000312600003026000019,0
2800001428000011270000062600010326000064260000302600002126000010,2800001128000008260000312600002726000018260000152600001226000001,0
2800001428000011270000062600010326000064260000302600002126000010,2800001128000004280000032700000326000041260000302600002626000000,1
2800001428000011270000062600010326000064260000302600002126000002,2800001128000001270000062600006426000033260000242600001026000000,0
2800001428000011270000062600007426000064260000302600002126000010,2800001127000000260000632600005526000030260000212600001926000002,1
2800001428000011270000062600006426000031260000212600001126000010,2800000526000055260000492600004126000040260000262600002126000012,1
2800001428000011270000062600006426000031260000212600001126000010,2800001128000004280000032700000326000041260000302600002626000000,0
2800001428000011270000062600006426000030260000212600001126000010,2800001028000009280000052700000926000042260000342600001526000000,0
2800001428000011270000062600006426000030260000212600001126000010,2800001128000008270000062600006426000054260000462600000426000000,1
2800001428000011270000062600006426000030260000212600001126000010,2800000428000001270000032600006426000058260000562600001226000000,1
2800001428000011270000062600006426000030260000212600001126000010,2800001128000008260000312600002726000018260000152600001226000001,0
2800001428000011270000062600006426000030260000212600001126000010,2800001028000009280000052700000926000042260000342600001526000000,1
2800001428000011270000042600006426000030260000212600001126000002,2800001127000000260000632600005526000030260000212600001926000002,1
2800001428000011270000012600007426000064260000302600002126000010,2800000526000055260000492600004126000040260000262600002126000012,0
2800001428000011270000012600006526000064260000302600002126000010,2800000426000055260000412600003526000026260000152600001126000007,1
2800001428000011270000002600009926000064260000302600002126000010,2800001128000004280000002700000626000064260000552600002626000021,0
2800001428000011270000002600009926000064260000302600002126000010,2800000127000003260001032600006426000055260000402600003026000010,1
2800001428000011270000002600009926000064260000302600002126000010,2700000026000103260000642600005526000045260000402600001626000011,1
2800001428000011270000002600009926000064260000302600002126000010,2800000127000006260001032600008526000064260000552600001626000011,1
2800001428000011270000002600006526000064260000302600002126000010,2800001126000064260000552600004926000041260000212600001826000011,0
2800001428000011270000002600006526000064260000302600002126000010,2800000828000000260000552600004926000038260000372600002526000021,0
2800001428000011270000002600006426000055260000412600003026000021,2800001128000004280000032700000326000041260000302600002626000000,0
2800001428000011270000002600006426000042260000212600001126000000,2800000128000000270000002600005826000055260000492600004626000014,0
2800001428000011270000002600006426000042260000212600001126000000,2800000826000064260000552600003526000017260000132600001226000000,0
2800001428000011270000002600006426000042260000212600001126000000,2800001127000000260000642600005826000040260000302600002126000011,1
2800001428000011270000002600006426000042260000212600001126000000,2800000828000000260000642600005126000049260000252600001126000007,0
2800001428000011270000002600006426000042260000212600001126000000,2800001128000007280000012700000626000064260000552600004126000040,0
2800001428000011270000002600006426000042260000212600001126000000,2800001128000004270000062600006426000058260000552600003726000018,0
2800001428000011270000002600006426000042260000212600001126000000,2800001128000004270000032600004126000040260000302600002626000011,0
2800001428000011270000002600006426000042260000212600001126000000,2800001128000000270000062600006426000041260000402600002126000000,0
2800001428000011270000002600006426000042260000212600001126000000,2800000828000004270000032600006426000055260000422600004126000007,0
2800001428000011270000002600006426000042260000212600001126000000,2800000127000000260000512600002326000015260000112600001026000001,0
2800001428000011270000002600006426000042260000212600001126000000,2800001128000004260000492600004226000030260000212600001626000010,1
2800001428000011270000002600006426000042260000212600001126000000,2800000127000006260001032600006426000034260000302600002126000000,1
2800001428000011270000002600006426000042260000212600001126000000,2800001128000000260000642600004626000042260000212600001126000004,0
2800001428000011270000002600006426000042260000212600001126000000,2800001127000003260000642600005526000041260000382600003726000021,0
2800001428000011270000002600006426000042260000212600001126000000,2800001128000008280000042700000326000032260000262600002226000012,0
2800001428000011270000002600006426000042260000212600001126000000,2800000828000004260000552600003726000018260000172600001226000011,1
2800001428000011270000002600006426000042260000212600001126000000,2800000127000013260000552600004926000041260000372600002726000013,1
2800001428000011270000002600006426000042260000212600001126000000,2800001128000002260000552600004226000037260000212600001726000010,1
2800001428000011260000352600002426000018260000172600001026000005,2800000528000001260000402600002526000021260000122600000726000000,1
2800001428000008270000002600006426000055260000212600001126000007,2800000927000010260000412600004026000035260000142600001126000003,1
2800001428000001270000122600008026000059260000402600003026000011,2700000626000064260000552600004726000035260000182600001726000011,1
2800001428000001270000122600008026000059260000402600003026000011,2800000127000006260000642600002126000018260000122600001126000007,1
2800001328000012280000062800000326000035260000202600000926000007,2800001128000004270000062600006426000058260000552600004026000011,1
2800001328000012280000012600005626000054260000522600004926000020,2800001128000004280000032700000326000041260000302600002626000000,1
2800001328000011280000062700000326000056260000512600004326000034,2800000426000055260000412600003526000026260000152600001126000007,0
2800001328000011280000062600005626000040260000142600001126000000,2800001128000004280000032600005326000041260000402600002626000016,1
2800001328000011280000062600005626000040260000142600001126000000,2800001128000000270000002600009326000038260000302600002126000010,1
2800001328000008280000042600006926000056260000182600001726000010,2800000927000010260000412600004026000035260000142600001126000003,1
2800001328000006280000002700000326000048260000172600001126000009,2800000127000000260000602600004526000041260000402600002126000011,1
2800001328000003260000872600006426000043260000242600001126000007,2800001126000064260000552600004926000041260000212600001826000011,1
2800001328000001270000062600006726000064260000332600002026000012,2800001028000009280000052700000926000042260000342600001526000000,1
